Name,URL
Burning Wrath,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/37/3751/37516af5812ea7c068c303a161b39a8e/font.ttf"""
Burtinomatic,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/1c/1c04/1c04a30ba58443643fc6bd2135fa859b/font.ttf"""
Burtinomatic-DemiBold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/7e/7ed2/7ed2771f7180834dfcb9b5672c9ac564/font.ttf"""
CHE LIVES!,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/59/59a8/59a830474f5d930ffa01b532987dc325/font.ttf"""
CK Becky,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/08/087d/087d5e00cab416bd045f575290384b2c/font.ttf"""
CMonkeeBold,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/7e/7eb2/7eb257c4218db655b460023b30953e5f/font.ttf"""
CRAMPS,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/09/09f3/09f3c73b5f66e35998cbcc0aaafa622f/font.ttf"""
Cabaletta,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/dc/dcbf/dcbf711fd478d487ef6b6d47c3dbf9f7/font.ttf"""
Cabaret,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/5a/5ac0/5ac0f04d366e766a92b1a386b77f4cce/font.ttf"""
CabaretContour,"""https://s3.amazonaws.com/ctd.scriptbuilder.fonts/38/38d9/38d93ca0d03f5c108c5b27f9012ef9d4/font.ttf"""
